Customer ID,Age Group,Location,Gender,Family with Children,Dog Breed,Purchase Frequency,Average Spend,Product Preference,Loyalty Program Member,Last Purchase Date
62ebdb16-5f39-4292-8b94-43cf82ccf389,65+,urban,F,no,Beagle,weekly,30.12,dry,Yes,2022-05-27
cc378709-8711-4fd8-8287-e08a78a447bf,65+,urban,M,yes,Dachshund,weekly,133.71,wet,Yes,2022-12-29
f470eee4-a218-4dda-86a3-1f9aeaafeea2,36-45,urban,M,no,Beagle,weekly,157.64,wet,Yes,2022-08-14
3ee5601a-708d-4b8f-baae-07f46b6335ff,18-25,urban,F,yes,German Shepherd,quarterly,160.13,raw,Yes,2023-11-23
f3be0277-631b-4780-adea-b2da84d7979c,18-25,suburban,F,yes,Dachshund,weekly,158.62,wet,No,2022-05-02
67a98087-3d0b-4b7b-b082-c8508c2125a4,56-65,urban,F,yes,Boxer,quarterly,60.73,dry,No,2024-01-27
effe1e69-a184-4a5b-ab38-2a7951d2635f,56-65,urban,F,no,Beagle,monthly,195.57,wet,Yes,2024-01-13
0037e9ca-6a03-4491-af36-12a4cbeef9b5,65+,suburban,M,no,Siberian Husky,monthly,199.13,wet,No,2023-02-25
dc0618bd-0bcf-4eeb-8165-7cba8c6592b7,26-35,suburban,M,no,Siberian Husky,weekly,33.61,wet,Yes,2023-05-12
b9959174-666b-4636-a4ff-f039ed5f6318,36-45,urban,F,yes,Dachshund,quarterly,188.56,dry,Yes,2023-01-14
22b402b3-d5af-49a3-8fad-128fed93ecb7,36-45,suburban,F,yes,Labrador,quarterly,72.1,dry,Yes,2022-12-24
9081dd89-6a01-4e90-a422-43d6b3a165c9,65+,suburban,M,yes,Boxer,quarterly,144.07,raw,Yes,2022-05-07
61523019-e719-4677-b121-47144b05cc1b,46-55,suburban,M,no,Poodle,weekly,80.86,wet,No,2024-01-22
f87c8dbe-c193-42e0-9b45-65e1c6615020,26-35,suburban,F,yes,Boxer,quarterly,194.2,wet,No,2023-12-30
ecc975bc-0217-4588-bc75-996ae918e3ac,65+,urban,F,yes,Siberian Husky,quarterly,38.27,dry,Yes,2022-05-24
567590c7-fc63-4e29-bf85-3445c1423f06,26-35,suburban,M,no,German Shepherd,quarterly,109.59,raw,Yes,2024-04-04
73d1acc0-05e5-4c01-9fc5-ae7429ee2e9a,26-35,urban,F,no,Beagle,monthly,97.05,raw,No,2023-12-31
142d8654-7089-4bf8-ad72-60d73c32bf87,26-35,urban,F,no,Beagle,quarterly,78.68,dry,No,2022-05-24
385d0206-b170-4a30-b51a-c6c689e7ea4e,65+,suburban,F,yes,German Shepherd,monthly,136.2,wet,Yes,2022-11-16
edac1c7a-f72b-4a5b-95e4-e18ccc6bed0b,36-45,suburban,M,yes,Bulldog,quarterly,43.59,raw,No,2022-10-19
72f4408d-d9e5-4c56-ba7e-e249eb1b7fcb,36-45,suburban,F,yes,Dachshund,quarterly,149.0,raw,No,2022-12-04
5b113c6b-d813-4ece-acf7-660b629ce177,26-35,urban,M,no,Siberian Husky,quarterly,196.51,wet,No,2023-03-09
de52a42e-20f0-4128-9392-91e43647c75b,46-55,suburban,M,no,Rottweiler,monthly,164.82,raw,Yes,2024-02-07
e810337e-a79e-449d-bbb4-0731a96def57,18-25,suburban,M,no,Great Dane,quarterly,174.8,wet,No,2023-04-07
3074721d-2ec0-4c44-b9dc-ed6b9dde793c,65+,suburban,M,no,German Shepherd,weekly,84.73,raw,No,2022-09-09
da269eb3-ce7b-4129-97c9-a51f029cd1af,18-25,suburban,M,yes,German Shepherd,quarterly,78.48,raw,No,2024-03-11
cc54a75e-ad74-4acc-b3fa-45400fa80ea7,46-55,suburban,F,yes,Boxer,monthly,113.07,dry,No,2023-10-16
883b4891-7bc7-4b60-b85a-89bafbd1a2a4,65+,urban,F,yes,Dachshund,monthly,28.23,raw,No,2024-01-13
464ecc91-9d90-49ba-9569-0e20263f7790,26-35,suburban,F,yes,Dachshund,weekly,190.16,wet,Yes,2024-02-25
e3e5d1a7-3ed2-447f-8ecd-fba4d1706573,36-45,suburban,F,yes,Rottweiler,weekly,45.88,raw,No,2023-06-19
790eead9-cbf3-427e-afc6-002d97e78463,18-25,suburban,F,yes,Great Dane,weekly,182.54,dry,No,2022-05-06
550e8e06-9c94-4843-a11d-ab8178a59daa,56-65,urban,F,yes,Dachshund,monthly,35.04,raw,No,2023-07-08
800e9ba3-b348-4eab-9a75-325579aa80ba,56-65,suburban,M,yes,Labrador,quarterly,168.07,grain-free,No,2022-08-28
835eff92-730b-448b-bd28-c3136265fea5,46-55,urban,M,no,Siberian Husky,quarterly,47.35,wet,Yes,2023-05-22
e95e1941-70c5-429d-afda-4099614d2224,26-35,urban,M,no,Labrador,weekly,26.86,grain-free,Yes,2023-01-16
3448c2ed-739e-4d3a-a879-883783d24617,18-25,suburban,F,yes,Bulldog,weekly,149.51,dry,Yes,2023-08-31
ad60e5f4-a5a3-4693-8219-c4d4e25edd40,26-35,suburban,M,no,Siberian Husky,quarterly,70.45,grain-free,No,2022-08-13
57fc7120-f992-47cc-bcab-c1e171b264d2,18-25,suburban,F,yes,Poodle,weekly,148.61,raw,No,2022-07-21
bcd7443e-c539-4169-8ae8-24dcef2abd8a,46-55,urban,F,yes,Siberian Husky,quarterly,119.92,wet,Yes,2023-10-22
946963d6-606f-4a5d-8652-c4e8a0237d6b,46-55,urban,F,no,Siberian Husky,quarterly,39.59,grain-free,Yes,2024-03-15
82e82d6f-45af-437b-9dfc-1edab5ef7c5e,56-65,urban,F,yes,Rottweiler,quarterly,187.78,raw,Yes,2023-07-05
5495d38a-32c8-4e85-98f1-1998fb2f1795,26-35,urban,F,yes,Labrador,quarterly,101.42,grain-free,Yes,2023-05-07
bb93787b-f509-4acd-a1d7-0ddc4f3e8090,65+,urban,F,yes,Great Dane,monthly,152.2,raw,Yes,2022-06-23
69cc00f3-78e2-47a4-87cd-fdbbe50c7595,56-65,urban,F,yes,Boxer,quarterly,110.18,raw,Yes,2023-02-15
ef21b868-f39a-4fc0-8c33-e5390ed4d364,26-35,suburban,F,yes,Rottweiler,weekly,128.79,grain-free,No,2022-09-12
92788c9f-de6a-464f-a7b4-a64fdc1cc2b8,56-65,suburban,F,yes,Siberian Husky,weekly,74.5,dry,No,2022-05-16
ee324201-cef4-44a0-9238-a24bf924d46c,65+,urban,F,yes,Boxer,weekly,56.06,wet,Yes,2023-03-11
f79073c9-c0b1-48c4-acd6-8128fcea3d82,36-45,suburban,F,no,Beagle,weekly,117.66,dry,No,2022-08-17
ec1b787d-c83b-47fd-888a-392e6130d727,36-45,suburban,M,no,Boxer,monthly,99.24,grain-free,No,2023-06-05
04e65eba-9e1b-492d-8055-b31912bde2d4,36-45,urban,M,yes,German Shepherd,quarterly,90.22,raw,Yes,2023-03-09
bbfdcf21-d88a-4f05-b169-b057697c4e99,36-45,urban,M,no,Rottweiler,quarterly,141.06,grain-free,Yes,2023-07-05
65dd00bd-8965-4ce5-afed-2cd8c1eeae8b,18-25,suburban,F,yes,Rottweiler,weekly,144.29,raw,No,2023-09-26
93e85b93-8a5a-498a-bfb8-f2ad6a36a127,36-45,urban,F,yes,German Shepherd,weekly,28.27,raw,No,2022-07-28
b4bc4a13-2359-4c08-9a69-43e42be7a643,65+,urban,M,yes,Beagle,weekly,80.97,dry,No,2022-06-13
c7ab91e8-d6a6-4111-a4b6-c355134afc7e,46-55,suburban,M,yes,Dachshund,quarterly,94.12,dry,Yes,2024-03-13
7b3f4245-9ef4-45f4-a1dd-f6588a4a8717,46-55,urban,M,no,Dachshund,monthly,37.44,grain-free,No,2023-11-06
82b9c5fc-b2d2-442d-b654-9acbc44d4ac8,18-25,suburban,M,no,Dachshund,monthly,62.46,wet,Yes,2023-11-28
ca3d7e02-de9b-45e1-85bd-b44c352e54e0,36-45,suburban,F,no,Dachshund,monthly,29.3,dry,Yes,2023-05-10
9182f03e-207c-465e-83cc-d565690db7fc,36-45,suburban,F,no,Labrador,monthly,199.32,raw,No,2024-04-03
46db3847-c177-4e38-aaa3-76e4ac5036ff,36-45,suburban,M,yes,German Shepherd,weekly,152.58,grain-free,Yes,2023-08-19
0662ef62-432a-4045-a246-c3202400a9db,56-65,suburban,F,no,Beagle,quarterly,35.74,grain-free,Yes,2023-05-30
f9a98ae0-2c83-4b60-9385-e7ae48c9598a,26-35,urban,F,yes,Siberian Husky,weekly,23.64,wet,Yes,2023-07-11
4ff32c73-0b48-458a-bda5-79fdafdff8ef,56-65,urban,M,yes,Bulldog,monthly,149.47,grain-free,No,2023-11-15
562f4556-0589-4bc4-a041-3ceef9a5d4b9,26-35,urban,M,no,Rottweiler,weekly,99.05,dry,No,2023-01-27
9825dc72-1838-431a-953a-5f9c646e455f,36-45,urban,F,yes,Boxer,monthly,161.62,raw,No,2022-11-09
b720a982-e8a6-413f-af12-bce136c4f340,36-45,suburban,F,no,Dachshund,quarterly,186.23,grain-free,Yes,2023-09-03
5ec5d631-1d6b-455c-9ca3-bc21281989f9,56-65,suburban,M,no,Boxer,monthly,127.87,grain-free,No,2022-09-27
04a24fa7-e16d-44ae-9813-86e30e3089e2,56-65,urban,F,no,Bulldog,weekly,53.68,raw,Yes,2023-04-02
13fd3073-fcdf-4762-9221-671167e041bb,26-35,suburban,M,no,Rottweiler,quarterly,160.79,grain-free,No,2023-01-26
45b4a65a-eaf1-40ce-b244-8101a3bbb918,46-55,urban,F,no,Poodle,monthly,192.05,grain-free,Yes,2024-03-25
7dbc8c42-b606-4c82-ac95-33a15e440529,26-35,urban,M,yes,Great Dane,monthly,124.44,wet,No,2022-05-19
7a78d24f-b392-4dad-aa73-d30a8d7b2b58,56-65,urban,M,no,Beagle,quarterly,142.76,dry,No,2022-07-03
f4fd9dcc-90c6-4ddb-9678-8615652d59c6,65+,suburban,M,no,Labrador,weekly,80.75,grain-free,Yes,2023-06-18
39313c5a-9444-44a2-9a5f-a838cf95e210,56-65,suburban,M,yes,Boxer,quarterly,88.67,dry,Yes,2024-04-21
0e33edfd-8a49-404c-8bb8-716b25e8fab2,65+,suburban,F,no,Dachshund,weekly,152.24,wet,No,2022-09-06
cd8ade05-0d66-4cad-8eb6-a1af24b60262,18-25,suburban,M,no,German Shepherd,monthly,187.0,dry,No,2023-12-04
8f3b96ec-5980-4fe4-9f2e-61b3d939bba7,56-65,urban,F,yes,Boxer,monthly,133.22,wet,Yes,2024-04-11
97089ca7-0389-4303-889d-804ba681aaf1,18-25,suburban,M,yes,Rottweiler,quarterly,162.17,dry,No,2023-12-24
4cbdc7db-aaf1-4703-972a-4719b55e876f,46-55,suburban,M,no,Poodle,monthly,50.89,dry,Yes,2023-07-15
0ff30f05-5e4b-42dc-819f-485a42e6bef3,26-35,suburban,F,yes,Beagle,quarterly,58.15,grain-free,Yes,2022-04-24
ed5d39cf-8741-41d9-9208-27e898d26ca1,65+,urban,M,no,German Shepherd,monthly,115.77,dry,Yes,2023-06-10
aa75bcf2-a738-4428-8fc4-17331b80a3ca,26-35,urban,M,yes,Great Dane,monthly,51.78,grain-free,Yes,2023-11-19
8484440b-76cf-4f8f-9dc3-3b58dda03fcb,18-25,suburban,M,no,Rottweiler,weekly,134.3,grain-free,Yes,2023-04-04
1ad59976-0415-4700-ba49-ed6cd2088b2d,65+,suburban,M,no,Poodle,quarterly,72.5,dry,Yes,2023-03-19
1199c0d5-b7ec-420a-b20b-c406af54dc53,26-35,suburban,F,no,German Shepherd,quarterly,162.48,grain-free,Yes,2023-02-11
26661951-83bf-4f93-9ef9-69885357730e,56-65,suburban,F,yes,Great Dane,monthly,165.46,dry,Yes,2022-05-15
02314a49-0ce5-4e6f-8120-413509f945aa,36-45,urban,M,no,Boxer,weekly,103.48,raw,Yes,2023-09-03
072eb7a5-88f1-424c-a5a1-01c2f40b0b2d,18-25,suburban,M,yes,Rottweiler,weekly,52.55,grain-free,Yes,2022-10-09
3f479b38-bbe8-4cb8-bac1-8cd40bf2472d,26-35,suburban,F,no,Siberian Husky,quarterly,136.42,raw,Yes,2023-02-14
11b3318f-fbab-4826-a9f5-46db90d5000d,18-25,suburban,M,no,Great Dane,quarterly,198.7,raw,Yes,2024-03-21
ee263538-69ff-4e22-aa9f-05cabc989af1,18-25,urban,F,no,Poodle,monthly,132.07,grain-free,Yes,2023-01-05
2813c2fc-7a2c-4d9d-88f6-025504350da2,65+,urban,F,no,Siberian Husky,quarterly,26.44,wet,Yes,2023-10-15
8cb3770f-b726-453b-988b-82bb2955aba4,65+,suburban,M,no,Siberian Husky,monthly,23.11,wet,Yes,2022-07-03
c8b353a4-0a71-4ae1-9f40-485104ac9c57,36-45,suburban,M,yes,Labrador,weekly,77.67,raw,Yes,2023-09-30
feb18439-a73c-435b-9b86-e73adc592abc,56-65,suburban,M,yes,Poodle,quarterly,55.24,raw,No,2023-12-03
30c78375-6696-4584-a6c7-9a699ce7555e,18-25,suburban,F,yes,Siberian Husky,weekly,166.35,dry,No,2023-02-12
0fbfefaf-aa96-4347-b74a-9161a9fd10f1,26-35,suburban,F,no,Boxer,weekly,172.07,raw,Yes,2023-11-11
5aeabda8-5317-4e24-9d94-2281edd16871,46-55,urban,F,no,Rottweiler,monthly,66.55,grain-free,No,2022-06-27
f6ff2bc1-c345-4803-97be-1cbc7a621b87,18-25,urban,F,yes,Rottweiler,weekly,78.62,wet,No,2022-12-20
9c38c01b-93a5-4698-b597-af229b9c1768,18-25,urban,F,no,Boxer,monthly,62.52,wet,No,2024-01-01
8641b1a7-11b7-41bd-bdd8-9eca4251fb52,36-45,suburban,M,no,Labrador,monthly,183.51,wet,Yes,2022-11-18
da7dbade-25bd-49f0-9d7c-17ce945123dd,56-65,urban,M,no,Beagle,weekly,110.48,grain-free,Yes,2022-12-11
6a12eed0-9747-4612-af06-1a4cf7dcb20d,46-55,urban,F,yes,Labrador,weekly,138.1,dry,Yes,2022-07-03
a4410159-078d-4abd-9988-b6bf4cc469fd,65+,urban,M,yes,Rottweiler,monthly,94.79,grain-free,No,2023-04-20
d8e33613-b299-4301-bec7-ac7120dbdf39,65+,suburban,F,yes,Beagle,monthly,133.58,grain-free,No,2023-11-17
97aac6f0-81d1-4577-a2a9-8b070ef956bb,26-35,suburban,M,yes,Labrador,weekly,89.45,wet,Yes,2023-05-08
4f5c3528-c6bc-4659-bf15-402b4a2665e5,46-55,urban,F,yes,Siberian Husky,monthly,81.14,grain-free,No,2023-01-09
ce6baab5-3fa7-4eef-9b4b-9e7be436833f,65+,suburban,F,no,Beagle,monthly,134.21,raw,No,2023-08-31
b62ee1fa-d9af-4a2d-9c17-81d990ea06a1,26-35,urban,M,no,Rottweiler,quarterly,126.39,grain-free,Yes,2023-01-21
b59ebe58-3c8e-45aa-9b2d-4b29362f314f,56-65,urban,M,no,Boxer,quarterly,72.84,wet,No,2022-07-30
0a843740-3b46-479a-830b-473f0b44ce32,26-35,urban,F,no,Dachshund,quarterly,46.88,wet,No,2023-10-21
6382333d-761b-41d0-abcd-2464df2311a0,65+,urban,F,yes,Siberian Husky,quarterly,86.34,grain-free,Yes,2022-11-18
c7a4c16d-9280-47e0-bafa-7fb64f1f2fb9,36-45,suburban,F,yes,Siberian Husky,quarterly,94.74,raw,No,2023-02-19
f2b8f27d-c5f0-4ffa-a3f0-7d65571c2cb8,36-45,suburban,M,no,Dachshund,monthly,133.16,raw,Yes,2024-03-01
3defd587-64b2-4767-a586-97d6e3c3657e,36-45,suburban,M,yes,Great Dane,monthly,184.62,wet,Yes,2023-04-05
cc3989ba-a72c-469a-b69d-cd7f7fb0a6e9,65+,suburban,M,no,Bulldog,quarterly,26.51,raw,Yes,2024-04-14
05e88f20-0dae-49c9-95ea-f1e48c936742,36-45,urban,F,no,German Shepherd,weekly,63.86,raw,Yes,2023-03-11
7c53db7b-0370-446b-8eee-f07714fa98a3,46-55,suburban,M,no,Poodle,quarterly,54.87,dry,Yes,2022-05-23
4f5a623e-fd68-4457-bacc-0df3e94ba77f,56-65,urban,M,no,Labrador,weekly,110.41,dry,Yes,2023-01-28
e8fb12d1-3575-4ef6-bc65-87b5786058c1,26-35,suburban,M,yes,Bulldog,monthly,97.35,raw,Yes,2022-07-10
cc191ee9-372c-4b49-b4ec-64d181973423,26-35,suburban,F,no,Labrador,weekly,151.23,raw,No,2023-09-08
a58d6978-9570-45b9-aaac-eea90d9da48c,65+,suburban,F,yes,Bulldog,monthly,63.63,dry,Yes,2023-02-27
5f88f322-929f-4ffe-aa43-6c3a48e6963b,36-45,urban,M,no,Beagle,weekly,127.01,dry,No,2022-09-16
a26826ea-f22d-4f02-9cda-3d38ad3c6783,36-45,urban,M,no,Boxer,monthly,179.09,dry,No,2023-11-22
99bb5e83-d1a8-474e-abd6-23a9285c222a,18-25,urban,M,no,Poodle,monthly,183.92,wet,Yes,2023-12-24
0f08e2fa-6d90-4602-9e2a-e9e6e7c75e1b,56-65,urban,F,no,Poodle,quarterly,192.58,wet,No,2023-03-14
b5f2d608-3bfb-44f0-af04-6b3cd15295ba,46-55,suburban,F,yes,Labrador,monthly,159.19,dry,Yes,2023-04-22
83ef4c0a-1dec-4b50-9d9e-a8c5023e16b6,26-35,urban,M,no,Dachshund,quarterly,183.08,dry,Yes,2023-07-08
79451743-448d-4d79-a91c-fb91ba85b845,18-25,urban,F,yes,Beagle,quarterly,62.22,dry,Yes,2024-02-21
66c7d50b-0257-4490-a691-f3f554542ade,18-25,suburban,F,no,Great Dane,quarterly,55.56,wet,Yes,2022-07-15
40242b80-948c-4227-8687-75dbeab90035,65+,suburban,M,no,Poodle,weekly,21.17,wet,Yes,2023-06-06
76271f20-eb10-45e1-a154-49429e56303f,26-35,urban,F,no,German Shepherd,weekly,147.23,raw,Yes,2023-05-11
fe525375-4007-4734-b536-ef6c88e58d0b,65+,suburban,M,yes,Labrador,monthly,188.74,grain-free,No,2023-05-10
bcd4ca88-3cd2-4a5b-b577-a51aff5c0903,46-55,urban,M,no,Siberian Husky,quarterly,53.65,raw,No,2022-05-23
5e97cc83-31cb-4768-ac9a-8e9ebf74c12e,18-25,suburban,M,no,German Shepherd,quarterly,134.65,grain-free,No,2024-03-08
58243b0b-ddd1-452b-bb4b-54095752cfb6,18-25,urban,F,no,Rottweiler,monthly,154.36,grain-free,No,2024-01-02
f13aba10-f8c7-4b12-8bda-6960959d61ba,56-65,urban,M,no,Labrador,quarterly,186.97,grain-free,No,2022-12-13
4321c1e7-2645-4d8d-bd56-5b7c5a8f8cde,46-55,urban,F,no,Labrador,monthly,136.43,raw,Yes,2022-07-20
dd11449b-c61c-403e-b9e9-6c06b7dece60,18-25,urban,M,yes,Siberian Husky,quarterly,194.65,wet,No,2024-04-04
8dcf8595-a151-43a1-9491-40dedc3b389e,46-55,urban,F,yes,Beagle,weekly,82.04,wet,Yes,2022-10-26
c646ee92-af76-4170-850e-e060821ba097,26-35,suburban,M,no,Siberian Husky,monthly,82.99,wet,Yes,2022-07-27
c5afe256-3791-40d6-9495-9742125421c7,36-45,urban,M,no,Poodle,monthly,117.74,wet,Yes,2023-06-01
